FIPS_CODE,MUNI_NAME
45122,LOVELAND PARK
45164,LOWELL
45178,LOWELLVILLE
45220,LOWER SALEM
45276,LUCAS
45304,LUCASVILLE
45332,LUCKEY
45374,LUDLOW FALLS
45542,LYNCHBURG
45556,LYNDHURST
45626,LYONS
45696,MCARTHUR
45794,MCCLURE
45808,MCCOMB
45822,MCCONNELSVILLE
45934,MCDONALD
45976,MACEDONIA
46046,MCGUFFEY
46151,MACK NORTH
46158,MACKSBURG
46162,MACK SOUTH
46312,MADEIRA
46480,MADISON
46830,MAGNETIC SPRINGS
46844,MAGNOLIA
46872,MAINEVILLE
46942,MALINTA
46970,MALTA
46998,MALVERN
47012,MANCHESTER
47138,MANSFIELD
47180,MANTUA
47306,MAPLE HEIGHTS
47362,MAPLE RIDGE
47445,MAPLEWOOD PARK
47474,MARBLE CLIFF
47502,MARBLEHEAD
47558,MARENGO
47600,MARIEMONT
47628,MARIETTA
47754,MARION
47992,MARSEILLES
48048,MARSHALLVILLE
48090,MARTINSBURG
48104,MARTINS FERRY
48118,MARTINSVILLE
48160,MARYSVILLE
48188,MASON
48244,MASSILLON
48272,MASURY
48286,MATAMORAS
48342,MAUMEE
48468,MAYFIELD
48482,MAYFIELD HEIGHTS
48706,MECHANICSBURG
48790,MEDINA
49000,MELROSE
49042,MENDON
49056,MENTOR
49098,MENTOR-ON-THE-LAKE
49238,METAMORA
49294,MEYERS LAKE
49434,MIAMISBURG
49644,MIDDLEBURG HEIGHTS
49700,MIDDLEFIELD
49728,MIDDLE POINT
49756,MIDDLEPORT
49840,MIDDLETOWN
49896,MIDLAND
49966,MIDVALE
50008,MIDWAY
50036,MIFFLIN
50134,MILAN
50176,MILFORD
50218,MILFORD CENTER
50260,MILLBURY
50316,MILLEDGEVILLE
50358,MILLER CITY
50372,MILLERSBURG
50400,MILLERSPORT
50540,MILLVILLE
50708,MILTON CENTER
50722,MILTONSBURG
50764,MINERAL CITY
50778,MINERAL RIDGE
50834,MINERVA
50862,MINERVA PARK
50904,MINGO JUNCTION
50918,MINSTER
51058,MOGADORE
51215,MONFORT HEIGHTS EAST
51217,MONFORT HEIGHTS SOUT
51310,MONROE
51618,MONROEVILLE
51674,MONTEZUMA
51716,MONTGOMERY
51772,MONTPELIER
51816,MONTROSE-GHENT
52010,MORAINE
52052,MORELAND HILLS
52276,MORRAL
52346,MORRISTOWN
52374,MORROW
52416,MOSCOW
52598,MOUNT BLANCHARD
52612,MOUNT CARMEL
52668,MOUNT CORY
52682,MOUNT EATON
52738,MOUNT GILEAD
52752,MOUNT HEALTHY
52780,MOUNT HEALTHY HEIGHT
52906,MOUNT ORAB
52976,MOUNT PLEASANT
53032,MOUNT REPOSE
53046,MOUNT STERLING
53102,MOUNT VERNON
53144,MOUNT VICTORY
53186,MOWRYSTOWN
53270,MULBERRY
53312,MUNROE FALLS
53410,MURRAY CITY
53480,MUTUAL
53550,NAPOLEON
53634,NASHVILLE
53690,NAVARRE
53788,NEFFS
53816,NELLIE
53886,NELSONVILLE
53942,NEVADA
53956,NEVILLE
53970,NEW ALBANY
