20040101,99991231,00142,ABERDEEN,.01000
20020101,20110630,00198,ADA,.01150
20110701,99991231,00198,ADA,.01650
20020101,20121231,00436,ADDYSTON,.01000
20130101,99991231,00436,ADDYSTON,.01500
20100101,99991231,00450,ADELPHI,.01000
20020101,20031231,01000,AKRON,.02000
20040101,20171231,01000,AKRON,.02250
20180101,99991231,01000,AKRON,.02500
20200101,99991231,01154,ALEXANDRIA,.01000
20020101,99991231,01210,ALGER,.01000
20020101,20070630,01420,ALLIANCE,.01750
20070701,99991231,01420,ALLIANCE,.02000
20020101,20070831,01588,ALVORDTON,.01000
20150901,99991231,01630,AMANDA,.01000
20020101,99991231,01672,AMBERLEY,.02000
20180701,20201231,01742,AMELIA,.01000
20210101,99991231,01742,AMELIA,.00000
20020101,99991231,01798,AMHERST,.01500
20140701,99991231,01938,AMSTERDAM,.01000
20020101,99991231,02050,ANDOVER,.01500
20020101,99991231,02092,ANNA,.01750
20020101,99991231,02120,ANSONIA,.01000
20060912,99991231,02204,ANTWERP,.01000
20020101,99991231,02232,APPLE CREEK,.01000
20020101,20101231,02330,ARCANUM,.00500
20110101,99991231,02330,ARCANUM,.01000
20020101,20221231,02344,ARCHBOLD,.01500
20230101,99991231,02344,ARCHBOLD,.01800
20020101,99991231,02400,ARLINGTON,.01000
20020101,20021231,02428,ARLINGTON HEIGHTS,.01700
20030101,99991231,02428,ARLINGTON HEIGHTS,.02100
20020101,20161231,02568,ASHLAND,.01500
20170101,99991231,02568,ASHLAND,.02000
20160101,99991231,02582,ASHLEY,.01000
20020101,99991231,02638,ASHTABULA,.01800
20020101,20071231,02680,ASHVILLE,.00500
20080101,99991231,02680,ASHVILLE,.01000
20020101,20031231,02736,ATHENS,.01750
20040101,20101231,02736,ATHENS,.01650
20110101,20111231,02736,ATHENS,.01750
20120101,20161231,02736,ATHENS,.01650
20170101,20221231,02736,ATHENS,.01850
20230101,99991231,02736,ATHENS,.01950
20020101,20030331,03086,AURORA,.01000
20030401,99991231,03086,AURORA,.02000
20020101,20071231,03352,AVON,.01500
20080101,20251231,03352,AVON,.01750
20260101,99991231,03352,AVON,.01950
20020101,99991231,03464,AVON LAKE,.01500
20020101,20151231,03744,BALTIC,.01000
20160101,99991231,03744,BALTIC,.01500
20020101,99991231,03758,BALTIMORE,.01000
20020101,20131231,03828,BARBERTON,.02000
20140101,99991231,03828,BARBERTON,.02250
20020101,99991231,03926,BARNESVILLE,.01000
20020101,99991231,04150,BATAVIA,.01000
20020101,99991231,04416,BAY VILLAGE,.01500
20020101,99991231,04458,BEACH CITY,.01000
20020101,20101231,04500,BEACHWOOD,.01500
20110101,99991231,04500,BEACHWOOD,.02000
20100101,99991231,04752,BEAVERDAM,.01000
20020101,20171231,04878,BEDFORD,.02250
20180101,99991231,04878,BEDFORD,.03000
20020101,99991231,04920,BEDFORD HEIGHTS,.02000
20020101,99991231,05074,BELLAIRE,.01000
20020101,99991231,05116,BELLE CENTER,.01000
20020101,20240630,05130,BELLEFONTAINE,.01333
20240701,99991231,05130,BELLEFONTAINE,.01600
20020101,20180630,05228,BELLEVUE,.01500
20180701,99991231,05228,BELLEVUE,.02000
20020101,99991231,05284,BELLVILLE,.01000
20020101,99991231,05424,BELPRE,.01000
20020101,99991231,05550,BENTLEYVILLE,.01000
20020101,99991231,05690,BEREA,.02000
20160101,20181202,06068,BETHEL,.00500
20190701,20231231,06068,BETHEL,.00500
20240101,99991231,06068,BETHEL,.01000
20070101,99991231,06194,BETTSVILLE,.01000
20020101,20221231,06222,BEVERLY,.01000
20230101,99991231,06222,BEVERLY,.01250
